_id,name,cuisines,address,locationRate,qualityRate,serviceRate,priceRate,spaceRate,avgRating,priceRange,timeOpen,Final_Score_Normalized,average_score,classification
67812ec1514dba6089ed925f,Bánh Mì Phố - Đinh Tiên Hoàng,Món Việt,"57C Đinh Tiên Hoàng, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",6.5,5.0,4.5,4.8,5.8,5.32,25.000đ - 50.000đ,06:00 - 23:00,5.32,5.32,Neutral
67812ec1514dba6089ed9185,Mực Nướng Hàng Bồ - Shop Online,Món Việt,"56 Phố Hàng Bồ, P. Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",5.3,5.3,5.3,5.3,5.3,5.3,25.000đ - 400.000đ,00:01 - 02:00 | 15:30 - 23:59,5.3,5.3,Neutral
67812ec1514dba6089ed91ff,"Oanh - Phở Gà, Xôi Gà",Món Việt,"163 Láng Hạ, P. Láng Hạ, Quận Đống Đa, Hà Nội",6.6,5.1,4.6,4.9,5.3,5.3,30.000đ - 50.000đ,08:00 - 21:00,5.3,5.3,Neutral
67812ec1514dba6089ed9403,Ngâm Cafe,empty,"193/19 Nam Kỳ Khởi Nghĩa, P. Võ Thị Sáu, Quận 3, TP. HCM",5.0,3.0,1.0,2.0,4.0,3.0,11.000đ - 259.000đ,09:00 - 21:30,7.576923076923077,5.288461538461538,Neutral
67812ec1514dba6089ed9411,Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Thảo Điền,empty,"101 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",7.0,5.0,1.0,5.0,5.0,4.6,40.000đ - 70.000đ,08:30 - 21:30,5.88076923076923,5.240384615384615,Neutral
67812ec1514dba6089ed938d,Tí Đô Quán - Trà Sữa & Ăn Vặt,Món Việt,"801/91B Xô Viết Nghệ Tĩnh, P. 26, Quận Bình Thạnh, TP. HCM",6.3,5.9,5.0,5.8,6.1,5.82,20.000đ - 40.000đ,10:00 - 22:00,4.612692307692308,5.216346153846154,Neutral
67812ec1514dba6089ed92db,Bún Đậu Homemade - Quốc Hương,Món Bắc,"14R Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",7.0,5.3,4.7,5.3,6.7,5.8,30.000đ - 450.000đ,10:00 - 22:00,4.623076923076923,5.211538461538462,Neutral
67812ec1514dba6089ed93dd,Quán Dung - Bắp Xào Trứng Muối & Bánh Tráng Cuốn Trộn - Chung Cư Ngô Gia Tự,Món Việt,"030 Lô S Chung Cư Ngô Gia Tự, Hòa Hảo, P. 2, Quận 10, TP. HCM",5.7,5.1,4.7,4.7,5.1,5.06,15.000đ - 20.000đ,08:30 - 23:00,5.346153846153846,5.203076923076923,Neutral
67812ec1514dba6089ed9308,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Đại Lộ Bình Dương,Món Hàn,"506 Đại Lộ Bình Dương, P. Hiệp Thành, Thành Phố Thủ Dầu Một, Bình Dương",6.7,6.7,6.5,6.6,6.7,6.64,35.000đ - 79.000đ,08:00 - 22:00,3.724230769230769,5.1821153846153845,Neutral
67812ec1514dba6089ed91cd,Cháo Lòng Bà Tý C - Châu Long,Món Việt,"39 Châu Long, Quận Ba Đình, Hà Nội",5.9,5.5,3.6,5.3,5.6,5.18,20.000đ - 50.000đ,06:45 - 22:00,5.18,5.18,Neutral
67812ec1514dba6089ed943d,Lotteria - Siêu Thị Mega Market An Phú,Món Hàn,"Siêu Thị Mega Market An Phú, Đường Song Hành, Khu đô thị mới An Phú An Khánh, P. An Phú, Tp. Thủ Đức, TP. HCM",6.0,5.2,4.8,5.0,5.4,5.28,30.000đ - 88.000đ,09:00 - 21:30,5.033846153846154,5.156923076923077,Neutral
67812ec1514dba6089ed93db,Le Castella Viet Nam - Bánh Bông Lan Đài Loan - Bạch Đằng,Đài Loan,"151A Bạch Đằng, P. 2, Quận Tân Bình, TP. HCM",6.0,5.6,4.7,5.2,5.8,5.46,119.000đ - 149.000đ,09:00 - 22:00,4.808846153846154,5.134423076923078,Neutral
67812ec1514dba6089ed9232,Quán Bún Chả Nướng Lá - Bánh Cuốn Hà Nam - Nguyễn Hoàng Tôn,empty,"2 Ngõ 725 Nguyễn Hoàng Tôn, P. Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",5.5,5.5,4.0,5.0,5.5,5.1,10.000đ - 60.000đ,06:00 - 21:00,5.1,5.1,Neutral
67812ec1514dba6089ed9140,Bún Ốc Bà Ngoại,Món Việt,"7 Ngách 11/17 Tô Ngọc Vân, Quận Tây Hồ, Hà Nội",5.5,5.3,4.6,4.7,5.3,5.08,20.000đ - 100.000đ,07:30 - 18:00,5.08,5.08,Neutral
67812ec1514dba6089ed93a2,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",Miền Đông,"2 Phạm Viết Chánh, P.19, Quận Bình Thạnh, TP. HCM",5.6,5.2,4.5,5.1,5.6,5.2,15.000đ - 33.000đ,07:00 - 22:00,4.940384615384615,5.070192307692308,Neutral
67812ec1514dba6089ed9303,Bờ Kè Quán - Gà Nướng Cơm Cháy,Món Việt,"162 Bàu Bàng, Khu 1, P. Chánh Nghĩa, Thành Phố Thủ Dầu Một, Bình Dương",5.6,5.3,3.8,5.1,5.4,5.04,100.000đ - 150.000đ,11:00 - 23:00,5.04,5.04,Neutral
67812ec1514dba6089ed90ed,Pizza Hut - Xuân La,Quốc tế,"28 Xuân La, P. Xuân La, Quận Tây Hồ, Hà Nội",5.8,5.3,4.0,4.7,5.3,5.02,40.000đ - 165.000đ,09:00 - 22:30,5.02,5.02,Neutral
67812ec1514dba6089ed921b,Bánh Tráng Cuốn Thịt Heo & Nem Nướng Nha Trang - 86 Ngõ 61 Vạn Phúc,Món Miền Trung,"86 Ngõ 61 Vạn Phúc, Quận Hà Đông, Hà Nội",5.0,5.0,5.0,5.0,5.0,5.0,Đang cập nhật,09:00 - 22:00,5.0,5.0,Neutral
67812ec1514dba6089ed910f,Katty - Tea & Coffee - Sóc Sơn,Hà Nội,"Số 45, Tổ 7, TT Sóc Sơn, Huyện Sóc Sơn, Hà Nội",5.0,5.0,5.0,5.0,5.0,5.0,15.000đ - 50.000đ,empty,5.0,5.0,Neutral
67812ec1514dba6089ed92a5,Som ตำ Thai - Trần Hưng Đạo,empty,"37 Trần Hưng Đạo, P. Hàng Bài, Quận Hoàn Kiếm, Hà Nội",5.0,5.0,5.0,5.0,5.0,5.0,Đang cập nhật,10:30 - 22:30,5.0,5.0,Neutral
67812ec1514dba6089ed915f,M.I.A - Nước Mía Sầu Riêng Campuchia - Hồng Tiến,Món Việt,"99 Hồng Tiến, P. Ngọc Lâm, Quận Long Biên, Hà Nội",5.0,5.0,5.0,5.0,5.0,5.0,20.000đ - 30.000đ,10:00 - 22:00,5.0,5.0,Neutral
67812ec1514dba6089ed9484,Phúc Long Nguyễn Hữu Cảnh,empty,"09 Nguyễn Hữu Cảnh, P. Thắng Nhất, Tp. Vũng Tàu, Vũng Tàu",6.0,5.0,2.0,2.0,6.0,4.2,35.000đ - 75.000đ,07:00 - 21:30,5.742307692307692,4.971153846153847,Neutral
67812ec1514dba6089ed943b,Bún Bò Gánh - Lý Chính Thắng,Món Việt,"110 Lý Chính Thắng, P. 8, Quận 3, TP. HCM",7.0,6.4,6.0,6.3,7.0,6.54,36.000đ - 66.000đ,06:00 - 21:00,3.3757692307692304,4.957884615384615,Neutral
67812ec1514dba6089ed93e0,Mì Cay Sasin - 292 Nguyễn Tri Phương,Món Hàn,"292 - 294 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",5.8,5.6,3.6,5.0,5.6,5.12,35.000đ - 100.000đ,09:00 - 22:00,4.779999999999999,4.949999999999999,Neutral
67812ec1514dba6089ed9428,Thành Đạt - Hủ Tiếu Nam Vang - Lý Thái Tổ,Món Việt,"16 Lý Thái Tổ, P. 2, Quận 3, TP. HCM",5.4,5.3,4.6,4.6,5.3,5.04,49.000đ - 55.000đ,00:01 - 23:59,4.812019230769231,4.926009615384615,Neutral
67812ec1514dba6089ed93a7,Hồng Trà Ngô Gia - 959 Lạc Long Quân,empty,"959 Lạc Long Quân, P. 11, Quận Tân Bình, TP. HCM",9.0,8.0,1.0,7.0,9.0,6.8,10.000đ - 60.000đ,08:00 - 21:00,3.007692307692308,4.903846153846154,Neutral
67812ec1514dba6089ed9472,"Highlands Coffee - Trà, Cà Phê & Bánh - Thạch Hãn",empty,"59 Thạch Hãn, P. Thuận Hoà, Tp. Huế, Huế",10.0,8.0,3.0,3.0,10.0,6.8,19.000đ - 65.000đ,07:00 - 22:00,3.007692307692308,4.903846153846154,Neutral
67812ec1514dba6089ed9349,Pizza Hut - Hố Nai Biên Hòa,"Mỹ, Ý","646 Nguyễn Ái Quốc, P. Hố Nai, Thành Phố Biên Hòa, Đồng Nai",5.0,5.0,3.0,5.0,5.0,4.6,100.000đ - 400.000đ,10:00 - 21:00,5.188461538461538,4.894230769230768,Neutral
67812ec1514dba6089ed92b4,Bánh Khọt Cô Ba Vũng Tàu - Khu Phố Mỹ Hoàng,Món Việt,"216 Khu Phố Mỹ Hoàng, Phạm Thái Bường, P. Tân Phong, Quận 7, TP. HCM",6.2,5.1,3.7,4.2,5.2,4.88,50.000đ - 150.000đ,08:00 - 22:00,4.842307692307692,4.8611538461538455,Neutral
67812ec1514dba6089ed947e,Gà Rán KFC - 30 Tháng 4 Vũng Tàu,Mỹ,"494 Đường 30 Tháng 4, P. Rạch Dừa, Tp. Vũng Tàu, Vũng Tàu",6.3,5.8,4.3,5.5,6.0,5.58,30.000đ - 250.000đ,09:00 - 22:00,4.046153846153846,4.813076923076923,Neutral
67812ec1514dba6089ed917f,TOUS les JOURS - Smart City,empty,"Shophouse S1.0601 SH05 & S1.0602SH05, Vinhomes Smart City, P. Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",6.0,4.5,4.0,4.5,5.0,4.8,15.000đ - 550.000đ,06:30 - 22:30,4.8,4.8,Neutral
67812ec1514dba6089ed924a,FoodFest - Yu Tang - Trần Đại Nghĩa - NowFoodxCoca-Cola,Món Á,"62 Trần Đại Nghĩa, Quận Hai Bà Trưng, Hà Nội",8.0,5.0,2.0,2.0,7.0,4.8,40.000đ - 50.000đ,09:00 - 22:30,4.8,4.8,Neutral
67812ec1514dba6089ed9264,Quang Minh - Cafe & Cơm Văn Phòng,Món Việt,"Tầng 1, Melinh Plaza, Km9 Bắc Thăng Long, Huyện Mê Linh, Hà Nội",5.0,5.0,4.0,5.0,5.0,4.8,25.000đ - 50.000đ,08:00 - 22:00,4.8,4.8,Neutral
67812ec1514dba6089ed9149,Cơm Niêu Tố Uyên,Hà Nội,"102 C2 Phạm Ngọc Thạch, Quận Đống Đa, Hà Nội",5.7,5.1,3.5,4.4,5.2,4.78,30.000đ - 66.000đ,06:00 - 22:00,4.78,4.78,Neutral
